video_id,group_name,title,upload_date,views,likes,comments,type
166,&TEAM, 'Jyuugoya' Official MV,10/20/2024,2507866,61000,8898,music video
167,&TEAM,illumination' Official MV,12/05/2024,3381513,72000,16267,music video
168,&TEAM,Yukiakari' Official MV,12/15/2024,12953684,104000,50013,music video
169,&TEAM,Deer Hunter' Official MV,01/14/2025,8346766,246000,17389,music video
170,&TEAM,Go in Blind' Official MV,04/21/2025,14842175,158000,31885,music video
171,&TEAM,Back to Life' Official MV,10/27/2025,40548418,224000,56406,music video
172,&TEAM,We on Fire' Official MV,04/12/2026,39124552,132000,20946,music video
173,&TEAM,Bewitched' Official MV | 'The Witch of Yerasah' Animated Film,05/10/2026,1178712,20000,811,music video
174,&TEAM,&TEAM 'Lunatic' Official MV,11/03/2025,19873310,137000,7119,music video
175,&TEAM,Under the skin' Dance Practice (Fix ver.),11/25/2022,3111103,128000,5220,dance practice
176,&TEAM,‘Scent of you’ Dance Practice,12/12/2022,1639226,81000,2311,dance practice
177,&TEAM,‘バズ恋 (BUZZ LOVE)’ Dance Practice,02/14/2023,2477584,91000,3514,dance practice
178,&TEAM, 'FIREWORK' Dance Practice (Fix ver.),06/16/2023,1601186,56000,2526,dance practice
179,&TEAM, 'Road Not Taken' Dance Practice,07/14/2023,889362,41000,1545,dance practice
180,&TEAM,War Cry' Dance Practice,11/17/2023,944229,43000,2081,dance practice
181,&TEAM, 'Dropkick' Dance Practice,12/03/2023,611189,25000,732,dance practice
182,&TEAM,Samidare' Dance Practice,05/09/2024,747784,31000,1495,dance practice
183,&TEAM, 'Koegawari' Dance Practice,07/26/2024,515244,23000,1214,dance practice
184,&TEAM,Aoarashi' Dance Practice,08/10/2024,314959,17000,710,dance practice
185,&TEAM,Go in Blind' Dance Practice,04/28/2025,698084,32000,1280,dance practice
186,&TEAM,Back to Life' Dance Practice,11/01/2025,537215,33000,1040,dance practice
187,&TEAM, 'Lunatic' Dance Practice (Moving ver.),11/14/2025,340882,20000,475,dance practice
188,&TEAM, 'We on Fire' Dance Practice,04/24/2026,224794,16000,540,dance practice
189,&TEAM, 'Bewitched' Dance Practice (Monitoring ver.),05/01/2026,225188,13000,225,dance practice
190,CORTIS, 'GO!' Official MV,08/10/2025,62627619,1400000,54699,music video
